268;AMV;Amderma Airport;Amderma, Nenets Autonomous Okrug, Russia
269;AMW;Ames Municipal Airport;Ames, Iowa, United States
270;AMX;Ammaroo Airport;Ammaroo, Northern Territory, Australia
271;AMY;Ambatomainty Airport;Ambatomainty, Madagascar
272;AMZ;Ardmore Airport;Ardmore, New Zealand
273;ANB;Anniston Regional Airport;Anniston, Alabama, United States
274;ANC;Ted Stevens Anchorage International Airport;Anchorage, Alaska, United States
275;AND;Anderson Regional Airport;Anderson, South Carolina, United States
276;ANE;Angers – Loire Airport;Angers, Pays de la Loire, France
277;ANF;Cerro Moreno International Airport;Antofagasta, Chile
278;ANG;Angoul?me – Cognac International Airport;Angoul?me, Poitou-Charentes, France
279;ANI;Aniak Airport;Aniak, Alaska, United States
280;ANJ;Zanaga Airport;Zanaga, Republic of the Congo
281;ANK;Etimesgut Air Base;Ankara, Turkey
282;ANL;Andulo Airport;Andulo, Angola
283;ANM;Antsirabato Airport;Antalaha, Madagascar
284;ANN;Annette Island Airport;Annette Island, Alaska, United States
285;ANO;Angoche Airport;Angoche, Mozambique
286;ANP;Lee Airport;Annapolis, Maryland, United States
287;ANQ;Tri-State Steuben County Airport;Angola, Indiana, United States
288;ANR;Antwerp International Airport;Antwerp, Belgium
289;ANS;Andahuaylas Airport;Andahuaylas, Peru
290;ANU;V. C. Bird International Airport;Antigua, Antigua and Barbuda
291;ANV;Anvik Airport;Anvik, Alaska, United States
292;ANW;Ainsworth Regional Airport;Ainsworth, Nebraska, United States
293;ANX;And?ya Airport, Andenes;Andenes, Norway
294;ANY;Anthony Municipal Airport;Anthony, Kansas, United States
295;ANZ;Angus Downs Airport;Angus Downs, Northern Territory, Australia
296;AOA;Aroa Airport;Aroa, Papua New Guinea
297;AOB;Annanberg Airport;Annanberg, Papua New Guinea
298;AOC;Leipzig–Altenburg Airport;Altenburg, Thuringia, Germany
299;AOD;Abou-De?a Airport;Abou-De?a, Chad
300;AOE;Anadolu Airport;Eskiºehir, Turkey
301;AOG;Anshan Teng'ao Airport;Anshan, Liaoning, China
302;AOH;Lima Allen County Airport;Lima, Ohio, United States
303;AOI;Ancona Falconara Airport;Ancona, Marche, Italy
304;AOJ;Aomori Airport;Aomori, Honshu, Japan
305;AOK;Karpathos Island National Airport;Karpathos, Greece
306;AOL;Paso de los Libres Airport;Paso de los Libres, Corrientes, Argentina
307;AOM;Adam Airport[1];Adam, Oman
308;AON;Arona Airport;Arona, Papua New Guinea
309;AOO;Altoona–Blair County Airport;Altoona, Pennsylvania, United States
310;AOP;Alférez FAP Alfredo Vladimir Sara Bauer Airport;Andoas, Peru
311;AOR;Sultan Abdul Halim Airport;Alor Setar, Kedah, Malaysia
312;AOS;Amook Bay Seaplane Base (FAA: AK81);Amook Bay, Alaska, United States
313;AOT;Aosta Valley Airport;Aosta, Aosta Valley, Italy
314;AOU;Attapeu Airport;Attapeu, Laos
315;APA;Centennial Airport;Denver, Colorado, United States
316;APB;Apolo Airport;Apolo, Bolivia
317;APC;Napa County Airport;Napa, California, United States
318;APF;Naples Municipal Airport;Naples, Florida, United States
319;APG;Phillips Army Airfield;Aberdeen Proving Ground, Maryland, United States
320;APH;A.P. Hill Army Airfield;Fort A.P. Hill, Virginia, United States
321;API;Captain Luis F. Gómez Ni?o Air Base;Apiay, Colombia
322;APK;Apataki Airport;Apataki, Tuamotus, French Polynesia
323;APL;Nampula Airport;Nampula, Mozambique
324;APN;Alpena County Regional Airport;Alpena, Michigan, United States
325;APO;Antonio Roldán Betancourt Airport;Apartadó, Colombia
326;APP;Asapa Airport;Asapa, Papua New Guinea
327;APQ;Arapiraca Airport;Arapiraca, Alagoas, Brazil
328;APR;April River Airport;April River, Papua New Guinea
329;APS;Anápolis Airport;Anápolis, Goiás, Brazil
330;APT;Marion County Airport (Brown Field);Jasper, Tennessee, United States
331;APU;Apucarana Airport;Apucarana, Paraná, Brazil
332;APV;Apple Valley Airport;Apple Valley, California, United States
333;APW;Faleolo International Airport;Apia, Upolu Island, Samoa
334;APX;Arapongas Airport;Arapongas, Paraná, Brazil
335;APY;Alto Parnaíba Airport;Alto Parnaíba, Maranh?o, Brazil
336;APZ;Zapala Airport;Zapala, Neuquén, Argentina
337;AQA;Araraquara Airport;Araraquara, S?o Paulo, Brazil
338;AQB;Quiché Airport;Quiché, Guatemala
339;AQG;Anqing Tianzhushan Airport;Anqing, Anhui, China
340;AQI;Al Qaisumah/Hafr Al Batin Airport;Qaisumah / Hafar Al-Batin, Saudi Arabia
341;AQJ;King Hussein International Airport;Aqaba, Jordan
342;AQM;Ariquemes Airport;Ariquemes, Rondônia, Brazil
343;AQP;Rodríguez Ballón International Airport;Arequipa, Peru
344;AQS;Saqani Airport;Saqani, Fiji
345;AQY;Girdwood Airport[1];Girdwood, Alaska, United States
346;ARA;Acadiana Regional Airport;New Iberia, Louisiana, United States
347;ARB;Ann Arbor Municipal Airport;Ann Arbor, Michigan, United States
348;ARC;Arctic Village Airport;Arctic Village, Alaska, United States
349;ARD;Alor Island Airport;Alor Island, Indonesia
350;ARE;Antonio (Nery) Juarbe Pol Airport (FAA: ABO);Arecibo, Puerto Rico, United States
351;ARF;Acaricuara Airport;Acaricuara, Colombia
352;ARG;Walnut Ridge Regional Airport;Walnut Ridge, Arkansas, United States
353;ARH;Talagi Airport;Arkhangelsk, Arkhangelsk Oblast, Russia
354;ARI;Chacalluta International Airport;Arica, Chile
355;ARJ;Arso Airport;Arso, Indonesia
356;ARK;Arusha Airport;Arusha, Tanzania
357;ARL;Arly Airport;Arly, Burkina Faso
358;ARM;Armidale Airport;Armidale, New South Wales, Australia
359;ARN;Stockholm Arlanda Airport;Stockholm, Sweden
360;ARO;Arboletes Airport;Arboletes, Colombia
361;ARP;Aragip Airport;Aragip, Papua New Guinea
362;ARQ;El Troncal Airport;Arauquita, Colombia
363;ARR;Alto Río Senguer Airport;Alto Río Senguer, Chubut, Argentina
364;ARS;Aragarças Airport;Aragarças, Goiás, Brazil
365;ART;Watertown International Airport;Watertown, New York, United States
366;ARU;Araçatuba Airport;Araçatuba, S?o Paulo, Brazil
367;ARV;Lakeland Airport (Noble F. Lee Memorial Field);Minocqua / Woodruff, Wisconsin, United States
368;ARW;Arad International Airport;Arad, Romania
369;ARY;Ararat Airport;Ararat, Victoria, Australia
370;ARZ;N'zeto Airport;N'zeto, Angola
371;ASA;Assab International Airport;Assab, Eritrea
372;ASB;Ashgabat International Airport;Ashgabat, Turkmenistan
373;ASC;Ascención de Guarayos Airport;Ascención de Guarayos, Bolivia
374;ASD;Andros Town International Airport;Andros Town, Andros Island, Bahamas
375;ASE;Aspen–Pitkin County Airport (Sardy Field);Aspen, Colorado, United States
376;ASF;Narimanovo Airport;Astrakhan, Astrakhan Oblast, Russia
377;ASG;Ashburton Aerodrome;Ashburton, New Zealand
378;ASH;Nashua Airport (Boire Field);Nashua, New Hampshire, United States
379;ASI;RAF Ascension Island (Wideawake Field);Ascension Island, British Overseas Territory
380;;;of Saint Helena, Ascension and Tristan da Cunha
381;ASJ;Amami Airport;Amami, Satsunan Islands, Japan
382;ASK;Yamoussoukro Airport;Yamoussoukro, Côte d'Ivoire
383;ASL;Harrison County Airport;Marshall, Texas, United States
384;ASM;Asmara International Airport;Asmara, Eritrea
385;ASN;Talladega Municipal Airport;Talladega, Alabama, United States
386;ASO;Asosa Airport;Asosa, Ethiopia
387;ASP;Alice Springs Airport;Alice Springs, Northern Territory, Australia
388;ASQ;Austin Airport (FAA: 9U3);Austin, Nevada, United States
389;ASR;Erkilet International Airport;Kayseri, Turkey
390;AST;Astoria Regional Airport;Astoria, Oregon, United States
